Date,Location,Vehicle_Type,Violation_Type,Fine_Amount (₹),Repeat_Offender,Weather_Condition,Time_of_Day,Road_Condition,Driver_Age_Group,Passengers_Count,Traffic_Density,License_Status,Accident_Involved,Speed_Recorded (km/h),Vehicle_Registration_State,Officer_ID,Previous_Violations,Insurance_Penalty (₹),Fine_Payment_Status
24-11-2024,Signature Tower Chowk,Bike,No Helmet,1000,FALSE,Foggy,Night,Under Construction,50+,3,Low,Valid,TRUE,54,Rajasthan,4,1,1855,Unpaid
18-02-2024,Signature Tower Chowk,Car,Red-Light Jump,1826,FALSE,Foggy,Morning,Wet,50+,2,High,Valid,FALSE,0,Punjab,10,1,4366,Paid
04-01-2024,Sector 29,Auto-rickshaw,Speeding,1399,FALSE,Rainy,Evening,Wet,26-35,0,Low,Expired,FALSE,64,Haryana,8,3,1885,Disputed
01-10-2024,Huda City Center,Auto-rickshaw,Wrong-Side Driving,4594,FALSE,Cloudy,Morning,Dry,36-50,5,Medium,Expired,FALSE,117,Punjab,1,2,4672,Disputed
22-02-2024,IFFCO Chowk,Car,DUI,6697,FALSE,Foggy,Evening,Dry,26-35,0,Medium,Suspended,FALSE,34,Haryana,7,1,1813,Disputed
10-01-2024,Manesar Toll,Bus,No Seatbelt,1000,FALSE,Rainy,Evening,Dry,36-50,1,High,Suspended,TRUE,88,Rajasthan,4,2,3829,Disputed
16-12-2024,Sikanderpur,Bike,No Helmet,1000,FALSE,Rainy,Afternoon,Wet,26-35,3,Low,Suspended,FALSE,107,Delhi,7,3,2747,Unpaid
22-05-2024,NH-8,Auto-rickshaw,Wrong-Side Driving,7055,FALSE,Rainy,Afternoon,Wet,36-50,4,High,Expired,FALSE,77,Punjab,1,2,2267,Unpaid
22-02-2024,Sector 29,Bus,Wrong-Side Driving,7566,FALSE,Rainy,Evening,Under Construction,36-50,2,Low,Valid,FALSE,53,Uttar Pradesh,6,1,4310,Unpaid
12-05-2024,IFFCO Chowk,Truck,Speeding,3247,FALSE,Stormy,Night,Slippery,26-35,0,Low,Suspended,TRUE,10,Delhi,1,3,4182,Unpaid
08-12-2024,Sohna Road near Iris Tech Park,Car,Red-Light Jump,4179,FALSE,Rainy,Afternoon,Slippery,18-25,5,High,Learner,TRUE,82,Delhi,9,3,3407,Disputed
19-01-2024,Cyber City,Bus,Wrong-Side Driving,3717,FALSE,Stormy,Evening,Dry,26-35,2,Low,Learner,TRUE,45,Haryana,1,3,1884,Unpaid
01-12-2024,Cyber City,Bike,Speeding,1111,TRUE,Rainy,Night,Dry,18-25,0,High,Learner,FALSE,10,Punjab,1,1,1384,Paid
08-09-2024,Sohna Road near Iris Tech Park,Auto-rickshaw,No Seatbelt,1000,TRUE,Stormy,Morning,Wet,36-50,4,High,Suspended,TRUE,101,Haryana,1,3,2076,Unpaid
24-07-2024,IFFCO Chowk,Bus,Wrong-Side Driving,3921,TRUE,Stormy,Night,Slippery,50+,5,Medium,Learner,FALSE,114,Uttar Pradesh,9,3,1533,Paid
28-10-2024,Sheetala Mata Road,Bike,DUI,8997,TRUE,Rainy,Night,Slippery,50+,1,Low,Learner,TRUE,23,Delhi,5,3,897,Unpaid
01-08-2024,Sector 56,Bus,Speeding,3845,TRUE,Foggy,Afternoon,Slippery,50+,26,High,Suspended,TRUE,10,Haryana,5,1,3601,Unpaid
11-09-2024,Sohna Road near Iris Tech Park,Truck,Wrong-Side Driving,4414,TRUE,Foggy,Morning,Under Construction,26-35,1,Low,Learner,FALSE,95,Delhi,2,3,2160,Paid
08-08-2024,Sector 56,Bike,No Helmet,1000,TRUE,Foggy,Evening,Wet,18-25,3,Medium,Expired,TRUE,100,Rajasthan,6,2,2261,Disputed
06-04-2024,Manesar Toll,Truck,Red-Light Jump,2595,FALSE,Cloudy,Morning,Under Construction,50+,4,High,Suspended,TRUE,27,Haryana,7,3,568,Paid
08-08-2024,IFFCO Chowk,Car,Red-Light Jump,,TRUE,Rainy,Night,Wet,18-25,3,Medium,Suspended,FALSE,107,Uttar Pradesh,7,3,4804,Paid
23-02-2024,Sikanderpur,Bus,No Seatbelt,1000,FALSE,Foggy,Afternoon,Under Construction,50+,4,High,Learner,TRUE,110,Punjab,9,2,2153,Disputed
01-02-2024,Manesar Toll,Car,DUI,9515,TRUE,Foggy,Night,Dry,26-35,5,Low,Suspended,FALSE,55,Punjab,4,2,3040,Paid
27-10-2024,Udyog Vihar,Bike,No Helmet,1000,TRUE,Clear,Evening,Dry,18-25,2,High,Expired,TRUE,43,Haryana,10,2,1396,Unpaid
11-09-2024,Rajiv Chowk,Auto-rickshaw,Wrong-Side Driving,5187,TRUE,Stormy,Afternoon,Dry,50+,1,Low,Learner,FALSE,16,Uttar Pradesh,10,2,2997,Unpaid
10-09-2024,MG Road,Auto-rickshaw,No Seatbelt,1000,FALSE,Stormy,Evening,Dry,18-25,3,Low,Valid,FALSE,86,Punjab,8,2,768,Paid
22-11-2024,Udyog Vihar,Auto-rickshaw,Red-Light Jump,2288,FALSE,Foggy,Afternoon,Dry,50+,4,Low,Valid,FALSE,8,Rajasthan,4,2,4452,Disputed
15-10-2024,Sohna Road near Iris Tech Park,Bike,Red-Light Jump,3342,TRUE,Rainy,Evening,Wet,26-35,3,High,Valid,FALSE,95,Rajasthan,7,2,4857,Paid
19-02-2024,Rajiv Chowk,Truck,No Seatbelt,1000,FALSE,Foggy,Evening,Dry,50+,1,High,Valid,FALSE,58,Delhi,9,1,4305,Paid
09-06-2024,Huda City Center,Bike,No Helmet,1000,FALSE,Foggy,Morning,Wet,36-50,1,High,Suspended,FALSE,49,Punjab,7,3,3962,Unpaid
07-09-2024,Rajiv Chowk,Bike,No Helmet,1000,FALSE,Foggy,Morning,Wet,50+,3,High,Learner,TRUE,31,Delhi,10,1,1223,Disputed
06-10-2024,Sector 56,Auto-rickshaw,No Seatbelt,1000,FALSE,Rainy,Evening,Under Construction,50+,2,Medium,Learner,FALSE,101,Punjab,6,3,559,Unpaid
14-09-2024,Golf Course Road,Bike,Speeding,4089,FALSE,Cloudy,Morning,Slippery,18-25,3,Medium,Valid,TRUE,52,Haryana,10,3,2843,Paid
18-10-2024,Manesar Toll,Bike,Speeding,1193,FALSE,Cloudy,Evening,Dry,26-35,0,Low,Suspended,FALSE,43,Delhi,5,1,2063,Unpaid
16-08-2024,Manesar Toll,Bike,No Helmet,1000,FALSE,Foggy,Afternoon,Under Construction,36-50,2,Low,Valid,FALSE,25,Rajasthan,1,3,4988,Unpaid
21-04-2024,MG Road,Bus,Red-Light Jump,1763,FALSE,Rainy,Night,Slippery,18-25,1,Low,Expired,FALSE,64,Rajasthan,3,1,2871,Unpaid
06-10-2024,MG Road,Truck,No Seatbelt,1000,TRUE,Clear,Evening,Under Construction,36-50,2,Medium,Expired,FALSE,2,Haryana,7,1,756,Unpaid
14-12-2024,NH-8,Bus,Wrong-Side Driving,4311,TRUE,Foggy,Morning,Wet,26-35,4,Medium,Expired,TRUE,83,Haryana,3,2,1138,Unpaid
24-02-2024,Sector 29,Bike,Wrong-Side Driving,7194,TRUE,Rainy,Evening,Slippery,36-50,0,Low,Expired,FALSE,111,Punjab,7,1,3255,Paid
03-06-2024,Sector 29,Bus,No Seatbelt,1000,TRUE,Rainy,Afternoon,Slippery,36-50,0,High,Learner,FALSE,60,Punjab,7,3,1886,Unpaid
19-11-2024,Sikanderpur,Auto-rickshaw,Speeding,1206,FALSE,Rainy,Afternoon,Under Construction,18-25,2,Medium,Valid,TRUE,115,Punjab,5,3,3071,Unpaid
08-05-2024,MG Road,Car,Wrong-Side Driving,3225,TRUE,Rainy,Night,Under Construction,50+,5,Medium,Suspended,FALSE,66,Haryana,1,1,1217,Unpaid
07-08-2024,MG Road,Car,Wrong-Side Driving,3246,FALSE,Stormy,Morning,Wet,18-25,4,Low,Suspended,FALSE,120,Rajasthan,10,3,2975,Unpaid
05-01-2024,Signature Tower Chowk,Auto-rickshaw,DUI,6948,TRUE,Clear,Night,Under Construction,26-35,1,Low,Suspended,FALSE,29,Haryana,9,1,4980,Unpaid
07-12-2024,Sikanderpur,Car,No Seatbelt,1000,FALSE,Cloudy,Night,Slippery,50+,3,Medium,Suspended,TRUE,79,Uttar Pradesh,8,1,1619,Disputed
06-10-2024,Huda City Center,Truck,No Seatbelt,1000,FALSE,Clear,Night,Dry,18-25,2,High,Expired,FALSE,57,Rajasthan,2,2,2967,Paid
11-08-2024,Udyog Vihar,Bike,Wrong-Side Driving,4189,FALSE,Rainy,Evening,Slippery,50+,3,High,Learner,TRUE,106,Punjab,2,2,2921,Unpaid
27-06-2024,Sikanderpur,Car,No Seatbelt,1000,FALSE,Cloudy,Afternoon,Slippery,50+,2,High,Suspended,FALSE,119,Rajasthan,9,1,763,Paid
20-07-2024,Manesar Toll,Auto-rickshaw,No Seatbelt,1000,FALSE,Rainy,Night,Dry,26-35,0,Medium,Learner,TRUE,36,Rajasthan,1,3,681,Unpaid
26-02-2024,Sector 29,Bike,No Helmet,1000,FALSE,Rainy,Morning,Under Construction,26-35,2,Medium,Learner,FALSE,95,Haryana,4,1,1997,Paid
03-11-2024,Sector 29,Bus,Speeding,4235,TRUE,Stormy,Morning,Under Construction,50+,4,Medium,Learner,TRUE,26,Uttar Pradesh,8,3,4687,Unpaid
04-06-2024,IFFCO Chowk,Bike,No Helmet,1000,FALSE,Rainy,Afternoon,Dry,18-25,2,High,Suspended,TRUE,31,Uttar Pradesh,2,1,925,Unpaid
06-05-2024,NH-8,Bus,DUI,7670,FALSE,Cloudy,Morning,Wet,36-50,3,High,Expired,FALSE,50,Rajasthan,3,1,4324,Unpaid
06-02-2024,Huda City Center,Bus,Wrong-Side Driving,3632,TRUE,Rainy,Morning,Under Construction,50+,0,Medium,Valid,FALSE,119,Delhi,9,3,1105,Unpaid
01-11-2024,Sector 29,Car,Wrong-Side Driving,7633,FALSE,Rainy,Morning,Dry,18-25,0,Medium,Expired,TRUE,100,Rajasthan,3,2,3036,Disputed
24-12-2024,Huda City Center,Bike,Speeding,3506,FALSE,Cloudy,Evening,Wet,18-25,0,High,Expired,TRUE,105,Haryana,7,3,564,Paid
06-01-2024,Sector 56,Car,DUI,9835,FALSE,Rainy,Morning,Under Construction,50+,3,Medium,Expired,FALSE,68,Delhi,8,3,4275,Unpaid
27-05-2024,Golf Course Road,Bike,No Helmet,1000,TRUE,Cloudy,Afternoon,Dry,36-50,3,Medium,Valid,TRUE,13,Punjab,3,2,4237,Unpaid
15-07-2024,Udyog Vihar,Bike,DUI,9051,FALSE,Rainy,Afternoon,Slippery,18-25,2,High,Learner,FALSE,55,Punjab,9,2,4410,Disputed
08-07-2024,Golf Course Road,Auto-rickshaw,Wrong-Side Driving,5378,FALSE,Cloudy,Afternoon,Slippery,36-50,3,Medium,Expired,TRUE,24,Punjab,4,1,3865,Paid
04-01-2024,MG Road,Bike,Red-Light Jump,2329,FALSE,Rainy,Afternoon,Under Construction,26-35,1,High,Expired,FALSE,92,Rajasthan,1,3,3131,Disputed
16-03-2024,MG Road,Truck,Wrong-Side Driving,3649,FALSE,Cloudy,Morning,Under Construction,18-25,5,Low,Suspended,TRUE,114,Punjab,10,2,4559,Paid
09-02-2024,Rajiv Chowk,Bus,Red-Light Jump,1717,FALSE,Foggy,Afternoon,Under Construction,26-35,4,Medium,Expired,TRUE,62,Delhi,6,2,2162,Paid
06-08-2024,Sohna Road near Iris Tech Park,Truck,Red-Light Jump,4036,TRUE,Stormy,Afternoon,Wet,26-35,4,High,Valid,TRUE,22,Uttar Pradesh,5,1,4612,Paid
10-11-2024,MG Road,Bus,Wrong-Side Driving,2695,FALSE,Foggy,Evening,Slippery,36-50,5,High,Learner,TRUE,38,Punjab,2,3,3305,Disputed
16-10-2024,Manesar Toll,Car,No Seatbelt,1000,FALSE,Foggy,Afternoon,Wet,18-25,2,Low,Learner,TRUE,70,Rajasthan,9,2,4947,Disputed
20-12-2024,Sohna Road near Iris Tech Park,Auto-rickshaw,Red-Light Jump,2751,FALSE,Stormy,Night,Under Construction,26-35,1,Medium,Valid,FALSE,112,Punjab,7,2,4654,Disputed
14-02-2024,Cyber City,Bus,Speeding,1423,FALSE,Stormy,Afternoon,Slippery,36-50,3,High,Suspended,TRUE,112,Punjab,3,2,1501,Disputed
26-06-2024,Huda City Center,Car,Speeding,1325,FALSE,Foggy,Night,Dry,26-35,5,Low,Expired,FALSE,114,Uttar Pradesh,10,2,721,Unpaid
16-01-2024,MG Road,Auto-rickshaw,Speeding,3069,TRUE,Clear,Afternoon,Slippery,18-25,1,Medium,Valid,TRUE,120,Rajasthan,8,3,4738,Paid
03-11-2024,Sikanderpur,Truck,DUI,8375,FALSE,Rainy,Afternoon,Dry,26-35,3,Medium,Learner,TRUE,101,Uttar Pradesh,2,1,4050,Disputed
05-09-2024,Manesar Toll,Bus,No Seatbelt,1000,FALSE,Foggy,Morning,Slippery,50+,5,High,Suspended,TRUE,60,Punjab,4,2,2841,Disputed
06-01-2024,NH-8,Car,No Seatbelt,1000,FALSE,Foggy,Morning,Wet,26-35,1,High,Expired,FALSE,28,Delhi,7,3,3711,Paid
19-08-2024,MG Road,Bike,Wrong-Side Driving,2310,TRUE,Cloudy,Afternoon,Dry,26-35,1,High,Learner,FALSE,48,Uttar Pradesh,2,3,2028,Paid
15-08-2024,NH-8,Bike,Red-Light Jump,1997,TRUE,Cloudy,Morning,Slippery,36-50,1,Low,Valid,FALSE,101,Haryana,3,3,4283,Unpaid
11-06-2024,Udyog Vihar,Bus,Wrong-Side Driving,5610,FALSE,Cloudy,Evening,Slippery,36-50,18,High,Learner,FALSE,61,Uttar Pradesh,5,3,4411,Unpaid
20-09-2024,Cyber City,Bike,Wrong-Side Driving,4983,TRUE,Clear,Night,Dry,50+,1,Low,Valid,FALSE,34,Punjab,10,3,1021,Disputed
01-12-2024,Huda City Center,Bike,No Helmet,1000,FALSE,Rainy,Afternoon,Wet,50+,1,Medium,Expired,TRUE,106,Delhi,7,2,4496,Paid
27-07-2024,Signature Tower Chowk,Truck,Red-Light Jump,3539,FALSE,Clear,Night,Slippery,26-35,3,High,Suspended,FALSE,103,Delhi,1,2,3434,Paid
16-04-2024,Sheetala Mata Road,Bus,Red-Light Jump,2433,FALSE,Clear,Morning,Wet,36-50,1,High,Suspended,TRUE,59,Delhi,5,1,1479,Paid
28-06-2024,Sector 56,Car,No Seatbelt,1000,FALSE,Cloudy,Afternoon,Wet,36-50,2,Low,Learner,TRUE,24,Haryana,4,3,4220,Disputed
20-07-2024,MG Road,Auto-rickshaw,No Seatbelt,1000,FALSE,Foggy,Evening,Wet,26-35,2,Low,Expired,FALSE,32,Haryana,3,2,4741,Unpaid
26-01-2024,Golf Course Road,Truck,Red-Light Jump,2643,FALSE,Rainy,Evening,Slippery,50+,4,Low,Learner,TRUE,46,Uttar Pradesh,2,3,4158,Paid
24-08-2024,Sikanderpur,Car,No Seatbelt,1000,TRUE,Stormy,Morning,Slippery,18-25,4,Medium,Suspended,TRUE,28,Uttar Pradesh,7,2,4805,Disputed
14-01-2024,Udyog Vihar,Car,No Seatbelt,1000,FALSE,Cloudy,Afternoon,Dry,26-35,0,Low,Learner,FALSE,59,Rajasthan,8,1,1978,Unpaid
16-07-2024,Sheetala Mata Road,Truck,Red-Light Jump,2307,TRUE,Cloudy,Morning,Under Construction,50+,1,Medium,Suspended,TRUE,75,Rajasthan,5,1,2446,Unpaid
21-02-2024,Sector 56,Truck,No Seatbelt,1000,FALSE,Rainy,Morning,Wet,36-50,3,Low,Expired,TRUE,22,Delhi,3,2,1719,Disputed
24-09-2024,Sector 29,Auto-rickshaw,DUI,,FALSE,Clear,Afternoon,Dry,36-50,5,High,Learner,FALSE,80,Uttar Pradesh,2,2,4058,Paid
20-06-2024,Udyog Vihar,Bike,DUI,8413,FALSE,Stormy,Morning,Slippery,18-25,0,Low,Expired,TRUE,90,Rajasthan,6,2,2806,Unpaid
19-11-2024,Sohna Road near Iris Tech Park,Car,Wrong-Side Driving,5191,TRUE,Clear,Evening,Dry,50+,0,Low,Expired,FALSE,99,Rajasthan,2,1,2629,Disputed
20-09-2024,IFFCO Chowk,Bus,Red-Light Jump,4873,FALSE,Clear,Night,Slippery,18-25,12,Low,Valid,TRUE,42,Uttar Pradesh,2,2,3044,Disputed
27-03-2024,Udyog Vihar,Truck,No Seatbelt,5000,TRUE,Cloudy,Morning,Dry,18-25,3,Low,Suspended,TRUE,65,Rajasthan,4,2,4073,Paid
22-05-2024,NH-8,Car,No Seatbelt,1000,FALSE,Foggy,Night,Dry,18-25,2,High,Learner,TRUE,2,Haryana,8,3,4192,Disputed
09-09-2024,Rajiv Chowk,Car,No Seatbelt,1000,FALSE,Cloudy,Night,Wet,18-25,1,High,Suspended,FALSE,1,Haryana,1,3,1203,Paid
21-01-2024,Udyog Vihar,Bike,No Helmet,1000,TRUE,Cloudy,Afternoon,Dry,26-35,2,Low,Valid,TRUE,50,Punjab,2,1,3495,Disputed
09-11-2024,Udyog Vihar,Car,No Seatbelt,1000,TRUE,Stormy,Night,Wet,18-25,5,Medium,Expired,TRUE,53,Uttar Pradesh,3,1,3680,Disputed
01-08-2024,Signature Tower Chowk,Bike,Wrong-Side Driving,4363,FALSE,Cloudy,Morning,Under Construction,18-25,1,High,Suspended,FALSE,110,Punjab,6,2,4624,Unpaid
17-08-2024,Signature Tower Chowk,Car,Wrong-Side Driving,4196,TRUE,Stormy,Afternoon,Dry,36-50,1,High,Suspended,TRUE,91,Uttar Pradesh,9,1,3277,Paid
04-07-2024,IFFCO Chowk,Bus,DUI,9452,FALSE,Cloudy,Morning,Wet,26-35,5,Low,Suspended,FALSE,41,Haryana,6,2,4316,Disputed
25-10-2024,MG Road,Auto-rickshaw,Wrong-Side Driving,5904,TRUE,Rainy,Evening,Wet,26-35,1,High,Expired,FALSE,17,Punjab,7,1,1259,Paid
21-09-2024,Cyber City,Bus,Speeding,2284,TRUE,Clear,Evening,Dry,36-50,2,Low,Learner,TRUE,100,Uttar Pradesh,3,3,2157,Disputed
01-11-2024,Sheetala Mata Road,Bus,Wrong-Side Driving,7579,FALSE,Stormy,Night,Slippery,36-50,5,Low,Suspended,FALSE,33,Haryana,1,1,724,Paid
14-08-2024,Cyber City,Bus,Wrong-Side Driving,5883,FALSE,Rainy,Evening,Wet,18-25,3,Medium,Suspended,FALSE,80,Delhi,5,1,913,Paid
07-05-2024,Cyber City,Truck,DUI,6500,FALSE,Foggy,Evening,Slippery,18-25,1,Medium,Valid,TRUE,6,Punjab,1,3,2125,Disputed
25-06-2024,IFFCO Chowk,Car,Wrong-Side Driving,3268,TRUE,Rainy,Night,Under Construction,26-35,0,High,Valid,FALSE,112,Punjab,4,1,1985,Unpaid
25-09-2024,IFFCO Chowk,Bike,No Helmet,1000,TRUE,Foggy,Night,Slippery,18-25,2,Medium,Valid,FALSE,28,Haryana,8,1,1978,Paid
19-08-2024,Sikanderpur,Auto-rickshaw,Wrong-Side Driving,6564,TRUE,Clear,Evening,Dry,18-25,1,High,Expired,FALSE,73,Punjab,8,2,4688,Unpaid
23-01-2024,Sector 56,Bus,Red-Light Jump,4256,TRUE,Clear,Night,Under Construction,26-35,5,High,Valid,TRUE,22,Punjab,1,1,2258,Unpaid
22-08-2024,Sector 56,Bike,DUI,6310,FALSE,Rainy,Night,Slippery,26-35,3,High,Suspended,TRUE,96,Delhi,1,3,1531,Paid
28-03-2024,Cyber City,Car,DUI,8744,FALSE,Rainy,Night,Under Construction,18-25,1,High,Suspended,FALSE,62,Punjab,6,3,4591,Unpaid
24-04-2024,Cyber City,Truck,DUI,6212,FALSE,Foggy,Night,Dry,50+,1,Low,Expired,FALSE,34,Delhi,8,1,4111,Disputed
23-01-2024,NH-8,Car,No Seatbelt,1000,FALSE,Rainy,Evening,Dry,50+,4,Medium,Expired,TRUE,60,Delhi,10,2,1946,Unpaid
08-10-2024,Sector 29,Truck,No Seatbelt,1000,TRUE,Foggy,Night,Slippery,50+,1,Medium,Valid,TRUE,5,Uttar Pradesh,6,1,3057,Unpaid
01-11-2024,Manesar Toll,Bike,No Helmet,1000,FALSE,Rainy,Afternoon,Dry,50+,2,Low,Learner,FALSE,79,Punjab,10,3,1992,Paid
06-01-2024,Rajiv Chowk,Auto-rickshaw,Red-Light Jump,,FALSE,Rainy,Afternoon,Under Construction,26-35,0,Low,Expired,TRUE,101,Punjab,5,3,2785,Unpaid
15-02-2024,Sector 56,Auto-rickshaw,Red-Light Jump,2994,FALSE,Foggy,Night,Dry,50+,2,High,Valid,TRUE,19,Delhi,6,2,4427,Unpaid
04-02-2024,Manesar Toll,Bus,Wrong-Side Driving,4991,TRUE,Cloudy,Night,Wet,26-35,3,Low,Expired,FALSE,24,Rajasthan,2,1,901,Unpaid
22-08-2024,Golf Course Road,Auto-rickshaw,DUI,5364,FALSE,Cloudy,Night,Wet,36-50,5,Low,Expired,FALSE,117,Uttar Pradesh,2,3,1275,Disputed
07-01-2024,Sikanderpur,Car,No Seatbelt,1000,FALSE,Rainy,Morning,Wet,50+,1,Low,Learner,FALSE,5,Uttar Pradesh,8,2,2096,Disputed
17-06-2024,NH-8,Bike,Red-Light Jump,2468,TRUE,Stormy,Night,Slippery,26-35,2,Medium,Suspended,FALSE,41,Delhi,4,1,2730,Disputed
27-01-2024,MG Road,Bus,No Seatbelt,1000,FALSE,Clear,Morning,Wet,36-50,15,High,Expired,TRUE,37,Haryana,1,3,2227,Paid
22-07-2024,MG Road,Auto-rickshaw,No Seatbelt,1000,FALSE,Clear,Morning,Under Construction,26-35,1,Low,Valid,FALSE,32,Punjab,1,3,2661,Disputed
14-03-2024,Signature Tower Chowk,Auto-rickshaw,DUI,8928,TRUE,Cloudy,Morning,Dry,50+,3,High,Suspended,FALSE,1,Delhi,6,3,3045,Disputed
23-01-2024,Cyber City,Auto-rickshaw,Speeding,1118,TRUE,Foggy,Afternoon,Wet,26-35,5,Low,Valid,FALSE,54,Delhi,9,2,3170,Unpaid
06-04-2024,Sohna Road near Iris Tech Park,Bus,Wrong-Side Driving,6172,FALSE,Foggy,Evening,Slippery,50+,5,Medium,Expired,FALSE,86,Haryana,7,3,3519,Paid
19-07-2024,Huda City Center,Truck,DUI,5701,FALSE,Clear,Morning,Under Construction,50+,1,Low,Expired,TRUE,83,Punjab,10,1,4799,Paid
02-08-2024,Golf Course Road,Truck,Red-Light Jump,4119,FALSE,Rainy,Morning,Wet,18-25,0,Low,Suspended,FALSE,29,Uttar Pradesh,10,1,4067,Unpaid
25-06-2024,IFFCO Chowk,Auto-rickshaw,Wrong-Side Driving,2255,TRUE,Clear,Afternoon,Under Construction,50+,0,Low,Expired,TRUE,52,Delhi,9,2,1429,Unpaid
27-06-2024,Udyog Vihar,Bike,No Helmet,1000,FALSE,Stormy,Afternoon,Slippery,50+,0,Low,Learner,FALSE,4,Uttar Pradesh,8,3,598,Paid
18-11-2024,NH-8,Bus,Red-Light Jump,4018,TRUE,Foggy,Night,Wet,18-25,11,Medium,Expired,FALSE,102,Haryana,5,1,865,Disputed
11-04-2024,Golf Course Road,Bike,Red-Light Jump,,FALSE,Foggy,Afternoon,Under Construction,18-25,1,Low,Suspended,TRUE,6,Haryana,6,1,3991,Paid
17-03-2024,Rajiv Chowk,Auto-rickshaw,No Seatbelt,1000,TRUE,Stormy,Morning,Under Construction,50+,2,High,Suspended,FALSE,87,Punjab,9,1,759,Paid
22-09-2024,Sikanderpur,Truck,Red-Light Jump,2362,FALSE,Foggy,Evening,Dry,26-35,2,Low,Suspended,TRUE,102,Uttar Pradesh,8,2,3975,Unpaid
13-03-2024,MG Road,Bike,No Helmet,1000,TRUE,Clear,Evening,Wet,50+,2,Medium,Valid,FALSE,29,Punjab,2,1,3358,Paid
13-06-2024,IFFCO Chowk,Truck,Wrong-Side Driving,2307,TRUE,Rainy,Afternoon,Under Construction,26-35,2,Medium,Expired,FALSE,0,Uttar Pradesh,4,1,4228,Unpaid
14-08-2024,Signature Tower Chowk,Bus,DUI,8225,TRUE,Cloudy,Afternoon,Under Construction,26-35,3,High,Learner,TRUE,25,Delhi,7,3,3575,Paid
24-04-2024,Sheetala Mata Road,Bike,Red-Light Jump,1543,FALSE,Stormy,Afternoon,Dry,50+,2,Low,Suspended,FALSE,45,Punjab,4,1,1715,Disputed
