Date,Location,Vehicle_Type,Violation_Type,Fine_Amount,Repeat_Offender,Weather_Condition,Time_of_Day,Road_Condition,Driver_Age_Group,Passengers_Count,Traffic_Density,License_Status,Accident_Involved,Speed_Recorded_kmphr,Vehicle_Registration_State,Officer_ID,Previous_Violations,Insurance_Penalty,Fine_Payment_Status,year_no,month_no,month_name,quarter_no
2024-02-19,Rajiv Chowk,Truck,No Seatbelt,1000,False,Foggy,Evening,Dry,50+,1,High,Valid,False,58,Delhi,9,1,4305,Paid,2024,2,February,1
2024-06-09,Huda City Center,Bike,No Helmet,1000,False,Foggy,Morning,Wet,36-50,1,High,Suspended,False,49,Punjab,7,3,3962,Unpaid,2024,6,June,2
2024-09-07,Rajiv Chowk,Bike,No Helmet,1000,False,Foggy,Morning,Wet,50+,3,High,Learner,True,31,Delhi,10,1,1223,Disputed,2024,9,September,3
2024-10-06,Sector 56,Auto-rickshaw,No Seatbelt,1000,False,Rainy,Evening,Under Construction,50+,2,Medium,Learner,False,101,Punjab,6,3,559,Unpaid,2024,10,October,4
2024-09-14,Golf Course Road,Bike,Speeding,4089,False,Cloudy,Morning,Slippery,18-25,3,Medium,Valid,True,52,Haryana,10,3,2843,Paid,2024,9,September,3
2024-10-18,Manesar Toll,Bike,Speeding,1193,False,Cloudy,Evening,Dry,26-35,0,Low,Suspended,False,43,Delhi,5,1,2063,Unpaid,2024,10,October,4
2024-08-16,Manesar Toll,Bike,No Helmet,1000,False,Foggy,Afternoon,Under Construction,36-50,2,Low,Valid,False,25,Rajasthan,1,3,4988,Unpaid,2024,8,August,3
2024-04-21,MG Road,Bus,Red-Light Jump,1763,False,Rainy,Night,Slippery,18-25,1,Low,Expired,False,64,Rajasthan,3,1,2871,Unpaid,2024,4,April,2
2024-10-06,MG Road,Truck,No Seatbelt,1000,True,Clear,Evening,Under Construction,36-50,2,Medium,Expired,False,2,Haryana,7,1,756,Unpaid,2024,10,October,4
2024-12-14,NH-8,Bus,Wrong-Side Driving,4311,True,Foggy,Morning,Wet,26-35,4,Medium,Expired,True,83,Haryana,3,2,1138,Unpaid,2024,12,December,4
2024-02-24,Sector 29,Bike,Wrong-Side Driving,7194,True,Rainy,Evening,Slippery,36-50,0,Low,Expired,False,111,Punjab,7,1,3255,Paid,2024,2,February,1
2024-06-03,Sector 29,Bus,No Seatbelt,1000,True,Rainy,Afternoon,Slippery,36-50,0,High,Learner,False,60,Punjab,7,3,1886,Unpaid,2024,6,June,2
2024-11-19,Sikanderpur,Auto-rickshaw,Speeding,1206,False,Rainy,Afternoon,Under Construction,18-25,2,Medium,Valid,True,115,Punjab,5,3,3071,Unpaid,2024,11,November,4
2024-05-08,MG Road,Car,Wrong-Side Driving,3225,True,Rainy,Night,Under Construction,50+,5,Medium,Suspended,False,66,Haryana,1,1,1217,Unpaid,2024,5,May,2
2024-08-07,MG Road,Car,Wrong-Side Driving,3246,False,Stormy,Morning,Wet,18-25,4,Low,Suspended,False,120,Rajasthan,10,3,2975,Unpaid,2024,8,August,3
2024-01-05,Signature Tower Chowk,Auto-rickshaw,DUI,6948,True,Clear,Night,Under Construction,26-35,1,Low,Suspended,False,29,Haryana,9,1,4980,Unpaid,2024,1,January,1
2024-12-07,Sikanderpur,Car,No Seatbelt,1000,False,Cloudy,Night,Slippery,50+,3,Medium,Suspended,True,79,Uttar Pradesh,8,1,1619,Disputed,2024,12,December,4
2024-10-06,Huda City Center,Truck,No Seatbelt,1000,False,Clear,Night,Dry,18-25,2,High,Expired,False,57,Rajasthan,2,2,2967,Paid,2024,10,October,4
2024-08-11,Udyog Vihar,Bike,Wrong-Side Driving,4189,False,Rainy,Evening,Slippery,50+,3,High,Learner,True,106,Punjab,2,2,2921,Unpaid,2024,8,August,3
2024-06-27,Sikanderpur,Car,No Seatbelt,1000,False,Cloudy,Afternoon,Slippery,50+,2,High,Suspended,False,119,Rajasthan,9,1,763,Paid,2024,6,June,2
2024-07-20,Manesar Toll,Auto-rickshaw,No Seatbelt,1000,False,Rainy,Night,Dry,26-35,0,Medium,Learner,True,36,Rajasthan,1,3,681,Unpaid,2024,7,July,3
2024-02-26,Sector 29,Bike,No Helmet,1000,False,Rainy,Morning,Under Construction,26-35,2,Medium,Learner,False,95,Haryana,4,1,1997,Paid,2024,2,February,1
2024-11-03,Sector 29,Bus,Speeding,4235,True,Stormy,Morning,Under Construction,50+,4,Medium,Learner,True,26,Uttar Pradesh,8,3,4687,Unpaid,2024,11,November,4
2024-06-04,IFFCO Chowk,Bike,No Helmet,1000,False,Rainy,Afternoon,Dry,18-25,2,High,Suspended,True,31,Uttar Pradesh,2,1,925,Unpaid,2024,6,June,2
2024-05-06,NH-8,Bus,DUI,7670,False,Cloudy,Morning,Wet,36-50,3,High,Expired,False,50,Rajasthan,3,1,4324,Unpaid,2024,5,May,2
2024-02-06,Huda City Center,Bus,Wrong-Side Driving,3632,True,Rainy,Morning,Under Construction,50+,0,Medium,Valid,False,119,Delhi,9,3,1105,Unpaid,2024,2,February,1
2024-11-01,Sector 29,Car,Wrong-Side Driving,7633,False,Rainy,Morning,Dry,18-25,0,Medium,Expired,True,100,Rajasthan,3,2,3036,Disputed,2024,11,November,4
2024-12-24,Huda City Center,Bike,Speeding,3506,False,Cloudy,Evening,Wet,18-25,0,High,Expired,True,105,Haryana,7,3,564,Paid,2024,12,December,4
2024-01-06,Sector 56,Car,DUI,9835,False,Rainy,Morning,Under Construction,50+,3,Medium,Expired,False,68,Delhi,8,3,4275,Unpaid,2024,1,January,1
2024-05-27,Golf Course Road,Bike,No Helmet,1000,True,Cloudy,Afternoon,Dry,36-50,3,Medium,Valid,True,13,Punjab,3,2,4237,Unpaid,2024,5,May,2
2024-07-15,Udyog Vihar,Bike,DUI,9051,False,Rainy,Afternoon,Slippery,18-25,2,High,Learner,False,55,Punjab,9,2,4410,Disputed,2024,7,July,3
2024-07-08,Golf Course Road,Auto-rickshaw,Wrong-Side Driving,5378,False,Cloudy,Afternoon,Slippery,36-50,3,Medium,Expired,True,24,Punjab,4,1,3865,Paid,2024,7,July,3
2024-01-04,MG Road,Bike,Red-Light Jump,2329,False,Rainy,Afternoon,Under Construction,26-35,1,High,Expired,False,92,Rajasthan,1,3,3131,Disputed,2024,1,January,1
2024-03-16,MG Road,Truck,Wrong-Side Driving,3649,False,Cloudy,Morning,Under Construction,18-25,5,Low,Suspended,True,114,Punjab,10,2,4559,Paid,2024,3,March,1
2024-02-09,Rajiv Chowk,Bus,Red-Light Jump,1717,False,Foggy,Afternoon,Under Construction,26-35,4,Medium,Expired,True,62,Delhi,6,2,2162,Paid,2024,2,February,1
2024-08-06,Sohna Road near Iris Tech Park,Truck,Red-Light Jump,4036,True,Stormy,Afternoon,Wet,26-35,4,High,Valid,True,22,Uttar Pradesh,5,1,4612,Paid,2024,8,August,3
2024-11-10,MG Road,Bus,Wrong-Side Driving,2695,False,Foggy,Evening,Slippery,36-50,5,High,Learner,True,38,Punjab,2,3,3305,Disputed,2024,11,November,4
2024-10-16,Manesar Toll,Car,No Seatbelt,1000,False,Foggy,Afternoon,Wet,18-25,2,Low,Learner,True,70,Rajasthan,9,2,4947,Disputed,2024,10,October,4
2024-12-20,Sohna Road near Iris Tech Park,Auto-rickshaw,Red-Light Jump,2751,False,Stormy,Night,Under Construction,26-35,1,Medium,Valid,False,112,Punjab,7,2,4654,Disputed,2024,12,December,4
2024-02-14,Cyber City,Bus,Speeding,1423,False,Stormy,Afternoon,Slippery,36-50,3,High,Suspended,True,112,Punjab,3,2,1501,Disputed,2024,2,February,1
2024-06-26,Huda City Center,Car,Speeding,1325,False,Foggy,Night,Dry,26-35,5,Low,Expired,False,114,Uttar Pradesh,10,2,721,Unpaid,2024,6,June,2
2024-01-16,MG Road,Auto-rickshaw,Speeding,3069,True,Clear,Afternoon,Slippery,18-25,1,Medium,Valid,True,120,Rajasthan,8,3,4738,Paid,2024,1,January,1
2024-11-03,Sikanderpur,Truck,DUI,8375,False,Rainy,Afternoon,Dry,26-35,3,Medium,Learner,True,101,Uttar Pradesh,2,1,4050,Disputed,2024,11,November,4
2024-09-05,Manesar Toll,Bus,No Seatbelt,1000,False,Foggy,Morning,Slippery,50+,5,High,Suspended,True,60,Punjab,4,2,2841,Disputed,2024,9,September,3
2024-01-06,NH-8,Car,No Seatbelt,1000,False,Foggy,Morning,Wet,26-35,1,High,Expired,False,28,Delhi,7,3,3711,Paid,2024,1,January,1
2024-08-19,MG Road,Bike,Wrong-Side Driving,2310,True,Cloudy,Afternoon,Dry,26-35,1,High,Learner,False,48,Uttar Pradesh,2,3,2028,Paid,2024,8,August,3
2024-08-15,NH-8,Bike,Red-Light Jump,1997,True,Cloudy,Morning,Slippery,36-50,1,Low,Valid,False,101,Haryana,3,3,4283,Unpaid,2024,8,August,3
2024-06-11,Udyog Vihar,Bus,Wrong-Side Driving,5610,False,Cloudy,Evening,Slippery,36-50,18,High,Learner,False,61,Uttar Pradesh,5,3,4411,Unpaid,2024,6,June,2
2024-09-20,Cyber City,Bike,Wrong-Side Driving,4983,True,Clear,Night,Dry,50+,1,Low,Valid,False,34,Punjab,10,3,1021,Disputed,2024,9,September,3
2024-12-01,Huda City Center,Bike,No Helmet,1000,False,Rainy,Afternoon,Wet,50+,1,Medium,Expired,True,106,Delhi,7,2,4496,Paid,2024,12,December,4
2024-07-27,Signature Tower Chowk,Truck,Red-Light Jump,3539,False,Clear,Night,Slippery,26-35,3,High,Suspended,False,103,Delhi,1,2,3434,Paid,2024,7,July,3
2024-04-16,Sheetala Mata Road,Bus,Red-Light Jump,2433,False,Clear,Morning,Wet,36-50,1,High,Suspended,True,59,Delhi,5,1,1479,Paid,2024,4,April,2
2024-06-28,Sector 56,Car,No Seatbelt,1000,False,Cloudy,Afternoon,Wet,36-50,2,Low,Learner,True,24,Haryana,4,3,4220,Disputed,2024,6,June,2
2024-07-20,MG Road,Auto-rickshaw,No Seatbelt,1000,False,Foggy,Evening,Wet,26-35,2,Low,Expired,False,32,Haryana,3,2,4741,Unpaid,2024,7,July,3
2024-01-26,Golf Course Road,Truck,Red-Light Jump,2643,False,Rainy,Evening,Slippery,50+,4,Low,Learner,True,46,Uttar Pradesh,2,3,4158,Paid,2024,1,January,1
2024-08-24,Sikanderpur,Car,No Seatbelt,1000,True,Stormy,Morning,Slippery,18-25,4,Medium,Suspended,True,28,Uttar Pradesh,7,2,4805,Disputed,2024,8,August,3
2024-01-14,Udyog Vihar,Car,No Seatbelt,1000,False,Cloudy,Afternoon,Dry,26-35,0,Low,Learner,False,59,Rajasthan,8,1,1978,Unpaid,2024,1,January,1
2024-07-16,Sheetala Mata Road,Truck,Red-Light Jump,2307,True,Cloudy,Morning,Under Construction,50+,1,Medium,Suspended,True,75,Rajasthan,5,1,2446,Unpaid,2024,7,July,3
2024-02-21,Sector 56,Truck,No Seatbelt,1000,False,Rainy,Morning,Wet,36-50,3,Low,Expired,True,22,Delhi,3,2,1719,Disputed,2024,2,February,1
2024-09-24,Sector 29,Auto-rickshaw,DUI,7858,False,Clear,Afternoon,Dry,36-50,5,High,Learner,False,80,Uttar Pradesh,2,2,4058,Paid,2024,9,September,3
2024-06-20,Udyog Vihar,Bike,DUI,8413,False,Stormy,Morning,Slippery,18-25,0,Low,Expired,True,90,Rajasthan,6,2,2806,Unpaid,2024,6,June,2
2024-11-19,Sohna Road near Iris Tech Park,Car,Wrong-Side Driving,5191,True,Clear,Evening,Dry,50+,0,Low,Expired,False,99,Rajasthan,2,1,2629,Disputed,2024,11,November,4
2024-09-20,IFFCO Chowk,Bus,Red-Light Jump,4873,False,Clear,Night,Slippery,18-25,12,Low,Valid,True,42,Uttar Pradesh,2,2,3044,Disputed,2024,9,September,3
2024-03-27,Udyog Vihar,Truck,No Seatbelt,5000,True,Cloudy,Morning,Dry,18-25,3,Low,Suspended,True,65,Rajasthan,4,2,4073,Paid,2024,3,March,1
2024-05-22,NH-8,Car,No Seatbelt,1000,False,Foggy,Night,Dry,18-25,2,High,Learner,True,2,Haryana,8,3,4192,Disputed,2024,5,May,2
2024-09-09,Rajiv Chowk,Car,No Seatbelt,1000,False,Cloudy,Night,Wet,18-25,1,High,Suspended,False,1,Haryana,1,3,1203,Paid,2024,9,September,3
2024-01-21,Udyog Vihar,Bike,No Helmet,1000,True,Cloudy,Afternoon,Dry,26-35,2,Low,Valid,True,50,Punjab,2,1,3495,Disputed,2024,1,January,1
2024-11-09,Udyog Vihar,Car,No Seatbelt,1000,True,Stormy,Night,Wet,18-25,5,Medium,Expired,True,53,Uttar Pradesh,3,1,3680,Disputed,2024,11,November,4
2024-08-01,Signature Tower Chowk,Bike,Wrong-Side Driving,4363,False,Cloudy,Morning,Under Construction,18-25,1,High,Suspended,False,110,Punjab,6,2,4624,Unpaid,2024,8,August,3
2024-08-17,Signature Tower Chowk,Car,Wrong-Side Driving,4196,True,Stormy,Afternoon,Dry,36-50,1,High,Suspended,True,91,Uttar Pradesh,9,1,3277,Paid,2024,8,August,3
2024-07-04,IFFCO Chowk,Bus,DUI,9452,False,Cloudy,Morning,Wet,26-35,5,Low,Suspended,False,41,Haryana,6,2,4316,Disputed,2024,7,July,3
2024-10-25,MG Road,Auto-rickshaw,Wrong-Side Driving,5904,True,Rainy,Evening,Wet,26-35,1,High,Expired,False,17,Punjab,7,1,1259,Paid,2024,10,October,4
2024-09-21,Cyber City,Bus,Speeding,2284,True,Clear,Evening,Dry,36-50,2,Low,Learner,True,100,Uttar Pradesh,3,3,2157,Disputed,2024,9,September,3
2024-11-01,Sheetala Mata Road,Bus,Wrong-Side Driving,7579,False,Stormy,Night,Slippery,36-50,5,Low,Suspended,False,33,Haryana,1,1,724,Paid,2024,11,November,4
2024-08-14,Cyber City,Bus,Wrong-Side Driving,5883,False,Rainy,Evening,Wet,18-25,3,Medium,Suspended,False,80,Delhi,5,1,913,Paid,2024,8,August,3
2024-05-07,Cyber City,Truck,DUI,6500,False,Foggy,Evening,Slippery,18-25,1,Medium,Valid,True,6,Punjab,1,3,2125,Disputed,2024,5,May,2
2024-06-25,IFFCO Chowk,Car,Wrong-Side Driving,3268,True,Rainy,Night,Under Construction,26-35,0,High,Valid,False,112,Punjab,4,1,1985,Unpaid,2024,6,June,2
2024-09-25,IFFCO Chowk,Bike,No Helmet,1000,True,Foggy,Night,Slippery,18-25,2,Medium,Valid,False,28,Haryana,8,1,1978,Paid,2024,9,September,3
2024-08-19,Sikanderpur,Auto-rickshaw,Wrong-Side Driving,6564,True,Clear,Evening,Dry,18-25,1,High,Expired,False,73,Punjab,8,2,4688,Unpaid,2024,8,August,3
2024-01-23,Sector 56,Bus,Red-Light Jump,4256,True,Clear,Night,Under Construction,26-35,5,High,Valid,True,22,Punjab,1,1,2258,Unpaid,2024,1,January,1
2024-08-22,Sector 56,Bike,DUI,6310,False,Rainy,Night,Slippery,26-35,3,High,Suspended,True,96,Delhi,1,3,1531,Paid,2024,8,August,3
2024-03-28,Cyber City,Car,DUI,8744,False,Rainy,Night,Under Construction,18-25,1,High,Suspended,False,62,Punjab,6,3,4591,Unpaid,2024,3,March,1
2024-04-24,Cyber City,Truck,DUI,6212,False,Foggy,Night,Dry,50+,1,Low,Expired,False,34,Delhi,8,1,4111,Disputed,2024,4,April,2
2024-01-23,NH-8,Car,No Seatbelt,1000,False,Rainy,Evening,Dry,50+,4,Medium,Expired,True,60,Delhi,10,2,1946,Unpaid,2024,1,January,1
2024-10-08,Sector 29,Truck,No Seatbelt,1000,True,Foggy,Night,Slippery,50+,1,Medium,Valid,True,5,Uttar Pradesh,6,1,3057,Unpaid,2024,10,October,4
2024-11-01,Manesar Toll,Bike,No Helmet,1000,False,Rainy,Afternoon,Dry,50+,2,Low,Learner,False,79,Punjab,10,3,1992,Paid,2024,11,November,4
2024-01-06,Rajiv Chowk,Auto-rickshaw,Red-Light Jump,3391,False,Rainy,Afternoon,Under Construction,26-35,0,Low,Expired,True,101,Punjab,5,3,2785,Unpaid,2024,1,January,1
2024-02-15,Sector 56,Auto-rickshaw,Red-Light Jump,2994,False,Foggy,Night,Dry,50+,2,High,Valid,True,19,Delhi,6,2,4427,Unpaid,2024,2,February,1
2024-02-04,Manesar Toll,Bus,Wrong-Side Driving,4991,True,Cloudy,Night,Wet,26-35,3,Low,Expired,False,24,Rajasthan,2,1,901,Unpaid,2024,2,February,1
2024-08-22,Golf Course Road,Auto-rickshaw,DUI,5364,False,Cloudy,Night,Wet,36-50,5,Low,Expired,False,117,Uttar Pradesh,2,3,1275,Disputed,2024,8,August,3
2024-01-07,Sikanderpur,Car,No Seatbelt,1000,False,Rainy,Morning,Wet,50+,1,Low,Learner,False,5,Uttar Pradesh,8,2,2096,Disputed,2024,1,January,1
2024-06-17,NH-8,Bike,Red-Light Jump,2468,True,Stormy,Night,Slippery,26-35,2,Medium,Suspended,False,41,Delhi,4,1,2730,Disputed,2024,6,June,2
2024-01-27,MG Road,Bus,No Seatbelt,1000,False,Clear,Morning,Wet,36-50,15,High,Expired,True,37,Haryana,1,3,2227,Paid,2024,1,January,1
2024-07-22,MG Road,Auto-rickshaw,No Seatbelt,1000,False,Clear,Morning,Under Construction,26-35,1,Low,Valid,False,32,Punjab,1,3,2661,Disputed,2024,7,July,3
2024-03-14,Signature Tower Chowk,Auto-rickshaw,DUI,8928,True,Cloudy,Morning,Dry,50+,3,High,Suspended,False,1,Delhi,6,3,3045,Disputed,2024,3,March,1
2024-01-23,Cyber City,Auto-rickshaw,Speeding,1118,True,Foggy,Afternoon,Wet,26-35,5,Low,Valid,False,54,Delhi,9,2,3170,Unpaid,2024,1,January,1
2024-04-06,Sohna Road near Iris Tech Park,Bus,Wrong-Side Driving,6172,False,Foggy,Evening,Slippery,50+,5,Medium,Expired,False,86,Haryana,7,3,3519,Paid,2024,4,April,2
2024-07-19,Huda City Center,Truck,DUI,5701,False,Clear,Morning,Under Construction,50+,1,Low,Expired,True,83,Punjab,10,1,4799,Paid,2024,7,July,3
2024-08-02,Golf Course Road,Truck,Red-Light Jump,4119,False,Rainy,Morning,Wet,18-25,0,Low,Suspended,False,29,Uttar Pradesh,10,1,4067,Unpaid,2024,8,August,3
2024-06-25,IFFCO Chowk,Auto-rickshaw,Wrong-Side Driving,2255,True,Clear,Afternoon,Under Construction,50+,0,Low,Expired,True,52,Delhi,9,2,1429,Unpaid,2024,6,June,2
2024-06-27,Udyog Vihar,Bike,No Helmet,1000,False,Stormy,Afternoon,Slippery,50+,0,Low,Learner,False,4,Uttar Pradesh,8,3,598,Paid,2024,6,June,2
2024-11-18,NH-8,Bus,Red-Light Jump,4018,True,Foggy,Night,Wet,18-25,11,Medium,Expired,False,102,Haryana,5,1,865,Disputed,2024,11,November,4
2024-04-11,Golf Course Road,Bike,Red-Light Jump,3391,False,Foggy,Afternoon,Under Construction,18-25,1,Low,Suspended,True,6,Haryana,6,1,3991,Paid,2024,4,April,2
